Loan_ID,Gender,Married,Dependents,Education,Employment_Type,Job_Domain,Business_Domain,Years_of_Experience,ApplicantIncome,CoapplicantIncome,Total_Monthly_Income,LoanAmount,Loan_Amount_Term,Interest_Rate,EMI,DTI,Credit_History,Property_Area,Loan_Status
LN100828,Male,No,2,Graduate,Salaried,Manufacturing,,12.0,39582.0,0.0,39582,1024320.0,84,11.233166270924219,17664.68,0.446,1,Semiurban,1
LN100184,Male,Yes,2,Graduate,Salaried,IT,,0.9,128163.0,16858.0,145021,1042582.0,180,9.684463594334632,11003.25,0.076,1,Semiurban,1
LN100989,Female,Yes,0,Graduate,Salaried,Consulting,,7.6,74284.0,13287.0,87571,308225.0,120,8.773627619833464,3866.8,0.044,0,Urban,1
LN100575,Female,Yes,0,Graduate,Salaried,Government,,4.6,21940.0,0.0,21940,712767.0,240,10.927693588582327,7322.06,0.334,1,Urban,1
LN100429,Male,Yes,1,Graduate,Salaried,Education,,1.6,88480.0,18277.0,106757,316604.0,60,12.369710436102325,7101.97,0.067,1,Urban,1
LN100361,Male,Yes,0,Not Graduate,Self-Employed,,Agriculture,0.6,62727.0,26970.0,89697,,180,11.185926578259966,2817.28,0.031,0,Rural,0
LN100829,Male,Yes,1,Graduate,Salaried,Manufacturing,,0.6,50653.0,0.0,50653,959824.0,360,10.210700463602285,8572.97,0.169,1,Semiurban,1
LN101239,Male,No,1,Not Graduate,Salaried,Manufacturing,,2.4,15492.0,0.0,15492,1158040.0,120,12.31218579224838,16824.17,1.086,0,Urban,0
LN100196,Male,Yes,0,Graduate,Salaried,IT,,3.4,26940.0,0.0,26940,164842.0,60,8.307472993733834,3366.71,0.125,0,Urban,0
LN101047,Male,Yes,0,Graduate,Self-Employed,,Manufacturing,1.9,10385.0,19492.0,29877,612056.0,84,,10904.04,0.365,1,Rural,1
LN100218,Male,Yes,0,Graduate,Salaried,Government,,1.7,29087.0,10592.0,39679,666196.0,120,8.735346543005697,8343.97,0.21,1,Urban,1
LN100941,Male,Yes,2,Not Graduate,Salaried,Retail,,1.8,29072.0,0.0,29072,615827.0,240,9.441156579143627,5716.67,0.197,1,Urban,1
LN100208,Male,Yes,0,Not Graduate,Salaried,Education,,4.4,10338.0,0.0,10338,609000.0,84,11.40880427749307,10558.93,1.021,0,Semiurban,0
LN100808,Male,Yes,0,Graduate,Salaried,Healthcare,,6.6,14608.0,0.0,14608,871419.0,120,9.013152267137889,11044.97,0.756,0,Semiurban,1
LN100727,Female,No,1,Graduate,Salaried,Manufacturing,,3.4,55899.0,18287.0,74186,968992.0,180,9.13703708739731,9907.31,0.134,0,Semiurban,0
LN100754,Male,No,0,Graduate,Salaried,IT,,14.1,63333.0,0.0,63333,1177737.0,60,9.35525076527822,24651.44,0.389,1,Urban,1
LN100075,Male,No,0,Not Graduate,Salaried,Consulting,,0.2,19238.0,0.0,19238,510533.0,360,9.799914516832565,4404.99,0.229,1,Rural,1
LN100630,Male,Yes,1,Graduate,Self-Employed,,IT Services,0.2,53881.0,0.0,53881,291492.0,60,8.637769077088494,5999.78,0.111,1,Urban,1
LN101005,Male,Yes,0,Graduate,Self-Employed,,Construction,1.7,50419.0,0.0,50419,614118.0,360,12.10934853889383,6368.63,0.126,1,Semiurban,1
LN100346,Male,Yes,1,Graduate,Salaried,Retail,,1.7,60738.0,0.0,60738,1027713.0,60,10.395728628519011,22036.51,0.363,0,Semiurban,0
LN101080,Female,No,2,Not Graduate,Self-Employed,,IT Services,12.7,77210.0,10117.0,87327,596655.0,84,8.606895526700823,9481.02,0.109,1,Rural,1
LN100425,Male,Yes,0,Not Graduate,Self-Employed,,Trading,23.1,111050.0,0.0,111050,50000.0,360,10.648180365975653,462.92,0.004,0,Semiurban,0
LN100858,Male,Yes,1,Graduate,Self-Employed,,Agriculture,3.7,59385.0,0.0,59385,184583.0,84,13.165513978144567,3374.56,0.057,0,Semiurban,0
LN101004,Female,No,0,Not Graduate,Salaried,Consulting,,5.1,54964.0,0.0,54964,687723.0,60,9.050788601166726,14292.96,0.26,0,Urban,1
LN100528,Male,No,3+,Graduate,Salaried,Education,,2.1,49539.0,0.0,49539,153901.0,60,11.188206098718204,3360.64,0.068,1,Urban,1
LN101247,Male,Yes,1,Not Graduate,Salaried,Government,,4.2,72566.0,0.0,72566,965484.0,84,11.01065325150439,16536.85,0.228,1,Rural,1
LN100482,Male,Yes,0,Graduate,Self-Employed,,IT Services,0.4,68230.0,0.0,68230,755978.0,60,10.537501106795382,16262.96,0.238,1,Urban,1
LN100316,Male,No,2,Graduate,Self-Employed,,Agriculture,2.7,11104.0,0.0,11104,1153254.0,60,7.0,22835.81,2.057,0,Urban,0
LN100950,Male,Yes,2,Not Graduate,Salaried,Healthcare,,1.7,98386.0,0.0,98386,685785.0,84,10.118804393034466,11426.98,0.116,0,Urban,0
LN100762,Male,No,1,Graduate,Salaried,IT,,4.5,43821.0,0.0,43821,371228.0,180,7.63098225689461,3469.02,0.079,1,Urban,1
LN100259,Male,No,0,Graduate,Self-Employed,,Retail,5.5,31617.0,0.0,31617,50000.0,240,7.0,387.65,0.012,0,Semiurban,0
LN100289,Male,No,2,Graduate,Self-Employed,,Trading,1.5,30844.0,0.0,30844,93089.0,180,8.93988522753647,940.84,0.031,1,Rural,1
LN100833,Male,Yes,0,Not Graduate,salaried,Healthcare,,12.8,142852.0,0.0,142852,990455.0,120,10.22682433200632,13213.66,0.092,1,Urban,1
LN100390,Female,Yes,0,Graduate,Salaried,IT,,6.6,61455.0,0.0,61455,50000.0,84,8.12211660928982,782.36,0.013,1,Semiurban,1
LN101010,Male,Yes,1,Not Graduate,Salaried,IT,,0.0,24844.0,0.0,24844,501168.0,60,11.744923199191312,11083.71,0.446,1,Rural,1
LN101050,Female,Yes,2,Graduate,Salaried,IT,,10.3,107302.0,23409.0,130711,490739.0,180,13.707900658647787,6439.35,0.049,0,Urban,1
LN101271,Female,No,0,Graduate,Self-Employed,,Services,1.2,77298.0,0.0,77298,500833.0,240,9.878393888487963,4792.86,0.062,1,Semiurban,1
LN100583,Male,No,0,Graduate,Salaried,Government,,2.8,53275.0,0.0,53275,245732.0,360,8.018186152215806,1806.21,0.034,1,Semiurban,1
LN100579,Male,Yes,1,Graduate,Salaried,Consulting,,5.4,34020.0,0.0,34020,50000.0,180,12.191020498193705,606.24,0.018,0,Semiurban,1
LN100051,Male,Yes,0,Graduate,Self-Employed,,Manufacturing,1.4,65611.0,0.0,65611,1159393.0,180,9.741410950286154,12276.13,0.187,0,Semiurban,0
LN100043,Female,No,1,Graduate,Self-Employed,,Construction,3.6,54640.0,0.0,54640,149085.0,360,9.047041945567504,1204.62,0.022,0,Urban,0
LN100532,Female,Yes,3+,Graduate,Salaried,IT,,5.2,70108.0,0.0,70108,378883.0,84,7.452324147399624,5802.5,0.083,0,Rural,1
LN100049,Male,Yes,0,Graduate,Salaried,Healthcare,,12.2,72826.0,0.0,72826,330634.0,240,10.197327460266244,3234.04,0.044,1,Urban,0
LN101230,Female,Yes,0,Graduate,Salaried,Government,,3.5,8560.0,0.0,8560,716015.0,84,12.226651057660343,12726.57,1.487,1,Urban,0
LN100946,Male,Yes,0,Not Graduate,Salaried,Manufacturing,,6.6,64595.0,0.0,64595,458538.0,240,9.092978724808884,4153.04,0.064,1,Semiurban,0
LN100078,Male,Yes,0,Graduate,Self-Employed,,Trading,0.9,8144.0,0.0,8144,657362.0,84,9.724017009845554,10819.48,1.329,1,Rural,0
LN100806,Female,No,2,Graduate,Salaried,Healthcare,,12.7,98368.0,0.0,98368,213669.0,360,9.383239906670026,1778.47,0.018,1,Urban,1
LN100542,Male,Yes,1,Graduate,Self-Employed,,Manufacturing,1.4,60072.0,0.0,60072,380349.0,240,8.643399246503696,3335.36,0.056,1,Urban,1
LN101009,Male,Yes,3+,Graduate,Salaried,IT,,0.5,41713.0,8747.0,50460,380304.0,360,7.322592200691843,2613.1,0.052,1,Rural,1
LN100682,Male,Yes,2,Graduate,Salaried,Government,,7.8,29287.0,0.0,29287,1035708.0,120,7.2057046203231465,12135.54,0.414,1,Semiurban,1
LN100598,Male,Yes,0,Graduate,Self-Employed,,Agriculture,0.5,62212.0,19237.0,81449,465573.0,180,11.585095646163516,5463.99,0.067,0,Semiurban,0
LN101115,Male,No,0,Graduate,Self-Employed,,Services,9.4,25897.0,40370.0,66267,50000.0,360,11.675469141460193,501.85,0.008,0,Rural,1
LN100233,Male,Yes,0,Graduate,Salaried,Retail,,2.6,17073.0,0.0,17073,612322.0,240,7.28254022932242,4851.73,0.284,1,Urban,1
LN100168,Male,No,1,Graduate,Self-Employed,,Manufacturing,5.3,17076.0,29267.0,46343,492840.0,240,10.673414077289497,4977.96,0.107,1,Urban,1
LN100669,Male,Yes,1,Not Graduate,Salaried,Government,,10.2,110603.0,33291.0,143894,531910.0,180,11.375059708883528,6171.53,0.043,1,Semiurban,1
LN100065,Male,Yes,0,Graduate,Salaried,Retail,,3.2,110142.0,0.0,110142,307674.0,360,9.789733105261984,2652.38,0.024,1,Semiurban,1
LN100115,Female,No,0,Graduate,Salaried,Retail,,3.5,48230.0,0.0,48230,671163.0,60,9.055044952216466,13950.18,0.289,1,Urban,1
LN101293,Male,Yes,0,Not Graduate,Salaried,IT,,8.1,133366.0,0.0,133366,212899.0,360,9.400455263746014,1774.73,0.013,0,Urban,1
LN100478,Female,Yes,0,Graduate,Salaried,Healthcare,,1.9,52967.0,,52967,1397649.0,60,10.395832741525032,29968.86,0.566,1,Urban,1
LN100807,Female,No,3+,Graduate,Salaried,Retail,,7.1,46617.0,0.0,46617,694686.0,180,9.959880548240612,7448.09,0.16,0,Semiurban,1
LN100032,Male,Yes,0,Graduate,Salaried,Banking,,3.7,85824.0,21542.0,107366,806465.0,360,10.24102824718848,7221.37,0.067,1,Rural,1
LN100567,Male,Yes,0,Graduate,Salaried,Government,,1.2,103041.0,0.0,103041,468671.0,240,9.979206798243593,4516.32,0.044,0,Semiurban,0
LN100952,Male,Yes,1,Graduate,Salaried,Manufacturing,,0.6,55541.0,15623.0,71164,1094947.0,60,10.156813368323824,23348.96,0.328,0,Urban,0
LN100339,Male,No,0,Graduate,Salaried,Healthcare,,13.3,54422.0,15752.0,70174,153913.0,120,11.567470742699792,2169.89,0.031,0,Urban,1
LN100811,Female,Yes,0,Graduate,Self-Employed,,Agriculture,1.2,104354.0,0.0,104354,382719.0,84,10.609127664811643,6474.69,0.062,1,Urban,1
LN100353,Male,Yes,0,Graduate,Salaried,IT,,6.5,27551.0,14017.0,41568,50000.0,84,11.18602931503876,861.02,0.021,1,Urban,1
LN100192,Female,Yes,1,Graduate,Self-Employed,,Trading,3.9,58796.0,16929.0,75725,205706.0,60,10.831214389769123,4455.25,0.059,1,Semiurban,1
LN100371,Male,No,0,Not Graduate,Salaried,Healthcare,,0.3,87238.0,0.0,87238,965947.0,84,7.0,14578.73,0.167,0,Urban,0
LN100908,Male,Yes,2,Graduate,Salaried,Banking,,2.3,32211.0,0.0,32211,1146224.0,360,10.956847474389887,10878.4,0.338,1,Urban,1
LN100270,Female,Yes,3+,Graduate,Salaried,Consulting,,5.1,84157.0,15036.0,99193,1115652.0,120,8.00402637546906,13538.31,0.136,1,Urban,1
LN101168,Male,Yes,0,Not Graduate,Salaried,Manufacturing,,3.1,73551.0,0.0,73551,1915104.0,120,8.768741561724562,24020.69,0.327,0,Rural,0
LN100934,Male,Yes,0,Graduate,Salaried,Government,,8.1,92760.0,0.0,92760,721188.0,120,7.343414796494226,8501.81,0.092,0,Urban,1
LN100943,Female,No,0,Graduate,Self-Employed,,Trading,5.4,34209.0,0.0,34209,651539.0,60,9.011410464228188,13528.49,0.395,1,Semiurban,1
LN101259,Male,Yes,2,Graduate,Salaried,Manufacturing,,0.7,89917.0,1779.0,91696,803414.0,84,8.679090310327526,12795.73,0.14,1,Urban,1
LN100411,Female,Yes,0,Not Graduate,Salaried,Manufacturing,,2.5,92016.0,0.0,92016,242466.0,360,11.854307467389393,2466.88,0.027,1,Rural,1
LN100240,Female,No,0,Graduate,Salaried,Consulting,,2.8,41166.0,24436.0,65602,1038993.0,60,10.800439637224713,22486.96,0.343,0,Urban,0
LN100782,Male,Yes,0,Not Graduate,Self-Employed,,Construction,4.6,80028.0,0.0,80028,129187.0,84,8.672457051605802,2057.09,0.026,1,Rural,1
LN100309,Male,Yes,0,Graduate,Salaried,Healthcare,,3.0,90016.0,0.0,90016,50000.0,240,9.062338868959522,451.87,0.005,0,Rural,0
LN100813,Female,No,0,Graduate,Salaried,Government,,1.2,57202.0,0.0,57202,64192.0,180,11.75093607607567,760.16,0.013,1,Urban,1
LN100706,Male,Yes,0,Graduate,Salaried,Retail,,5.3,62229.0,0.0,62229,1044301.0,360,10.083095367675002,9228.68,0.148,1,Semiurban,1
LN100767,Female,Yes,0,Graduate,Salaried,Government,,4.4,8704.0,0.0,8704,1002847.0,60,9.05433221381023,20843.91,2.395,0,Urban,0
LN100163,Male,Yes,0,Graduate,Salaried,Manufacturing,,3.7,53303.0,0.0,53303,1271050.0,84,11.418911440959157,22044.44,0.414,1,Semiurban,1
LN100063,Male,Yes,1,Graduate,Salaried,Retail,,3.9,46672.0,0.0,46672,648996.0,60,12.380349485549637,14561.61,0.312,1,Urban,1
LN100799,Female,Yes,1,Not Graduate,Salaried,Manufacturing,,11.3,18940.0,0.0,18940,846631.0,240,10.389129986894739,8389.64,0.443,1,Urban,1
LN101077,Male,No,0,Graduate,Salaried,Government,,4.5,49903.0,0.0,49903,498156.0,84,10.651810145881436,8438.72,0.169,1,Rural,1
LN100864,Male,Yes,0,Graduate,Salaried,Manufacturing,,7.9,9264.0,25264.0,34528,1130001.0,360,10.848607756680927,10632.2,0.308,1,Semiurban,1
LN100344,Male,Yes,2,Graduate,Salaried,Government,,4.7,98894.0,6784.0,105678,709445.0,360,10.718503936137983,6605.75,0.063,1,Semiurban,1
LN100479,Male,No,3+,Graduate,Salaried,Healthcare,,4.5,8720.0,0.0,8720,686621.0,180,7.818077877134258,6489.8,0.744,1,Urban,1
LN100581,Female,No,0,Graduate,Salaried,Healthcare,,5.8,34738.0,0.0,34738,993494.0,360,10.160004483050567,8836.32,0.254,1,Urban,1
LN100044,Male,No,0,Graduate,Salaried,Government,,0.8,95368.0,0.0,95368,419703.0,60,10.205119753972694,8959.87,0.094,1,Semiurban,1
LN100297,Male,Yes,0,Graduate,Self-Employed,,Agriculture,5.3,62999.0,22885.0,85884,934133.0,60,8.372548018779284,19107.84,0.222,1,Urban,1
LN101094,Male,No,0,Graduate,Self-Employed,,IT Services,8.5,9360.0,0.0,9360,50000.0,120,,700.69,0.075,1,Urban,1
LN100553,Male,No,0,Graduate,Self-Employed,,Trading,6.9,109993.0,0.0,109993,347654.0,180,11.693435102774421,4104.11,0.037,0,Urban,0
LN100912,Male,Yes,3+,Graduate,Self-Employed,,Agriculture,1.2,8192.0,0.0,8192,794736.0,360,10.659504583409536,7364.7,0.899,0,Semiurban,0
LN101117,Female,Yes,0,Graduate,Salaried,Government,,0.1,80616.0,0.0,80616,699418.0,120,7.196538886259685,8191.86,0.102,1,Urban,1
LN100665,Male,Yes,0,Not Graduate,Salaried,Manufacturing,,3.0,37937.0,0.0,37937,93745.0,180,10.385078759193611,1029.59,0.027,1,Semiurban,1
LN100781,Male,Yes,0,Graduate,Salaried,Retail,,0.3,95652.0,0.0,95652,176741.0,60,8.842164437221069,3655.33,0.038,1,Rural,1
LN100915,Male,Yes,3+,Not Graduate,Salaried,Manufacturing,,5.4,8864.0,29615.0,38479,567417.0,240,11.164440386120983,5920.44,0.154,1,Semiurban,1
LN101190,Male,Yes,0,Graduate,Salaried,Consulting,,8.4,23337.0,0.0,23337,50000.0,180,10.431879431869,550.59,0.024,0,Rural,1
LN100438,Male,Yes,0,Graduate,Salaried,Education,,2.1,55308.0,36510.0,91818,206234.0,180,10.786345269928045,2316.46,0.025,0,Semiurban,0
LN101118,Male,Yes,0,Graduate,Salaried,Manufacturing,,0.4,53664.0,0.0,53664,613757.0,60,9.891561010428271,13007.8,0.242,1,Urban,1
LN101030,Male,Yes,2,Graduate,Salaried,Consulting,,1.1,70058.0,20945.0,91003,653426.0,84,12.014434497446839,11539.8,0.127,1,Urban,1
LN100949,Male,Yes,1,Graduate,Self-Employed,,IT Services,3.8,41159.0,0.0,41159,568249.0,84,8.36824367842957,8961.46,0.218,1,Urban,1
LN100427,Female,No,1,Not Graduate,Salaried,Banking,,0.1,100513.0,0.0,100513,628514.0,60,9.342213241592527,13151.55,0.131,0,Urban,0
LN101203,Male,No,3+,Graduate,Self-Employed,,Services,6.8,84412.0,21684.0,106096,426386.0,60,11.95992560394257,9476.09,0.089,1,Rural,1
LN100430,Male,Yes,0,Graduate,Self-Employed,,Retail,5.5,77981.0,0.0,77981,425978.0,60,10.357849189213114,9125.96,0.117,1,Urban,1
LN100101,Male,Yes,3+,Graduate,Salaried,Banking,,16.6,83127.0,0.0,83127,1199418.0,240,9.922430814159593,11513.07,0.138,1,Semiurban,1
LN100631,Female,Yes,1,Graduate,Salaried,Healthcare,,0.7,37955.0,0.0,37955,398836.0,84,9.366698972792884,6491.37,0.171,1,Urban,1
LN100416,Male,Yes,2,Graduate,Self-Employed,,Retail,2.7,63542.0,0.0,63542,50000.0,120,11.052823378088942,690.25,0.011,1,Rural,1
LN101172,Male,No,0,Graduate,Self-Employed,,Services,1.0,72526.0,0.0,72526,502908.0,60,8.798169460280675,10390.35,0.143,1,Urban,1
LN100527,Male,No,0,Graduate,Salaried,Government,,5.8,56919.0,44061.0,100980,748832.0,120,9.313274545614721,9613.31,0.095,1,Urban,1
LN100439,Male,Yes,1,Graduate,Salaried,Manufacturing,,1.2,42051.0,0.0,42051,50000.0,360,13.255678268416833,563.11,0.013,1,Rural,1
LN100710,Male,Yes,2,Graduate,Salaried,Banking,,0.3,64498.0,0.0,64498,413352.0,60,10.733268834719482,8932.39,0.138,1,Semiurban,1
LN100558,Male,No,2,Graduate,Salaried,Manufacturing,,13.6,55810.0,12834.0,68644,274534.0,180,10.367915398326412,3012.25,0.044,1,Urban,1
LN100845,Male,No,1,Graduate,Self-Employed,,Retail,7.4,40214.0,0.0,40214,1188264.0,84,10.086631220000841,19779.82,0.492,1,Semiurban,0
LN100513,Female,Yes,0,Graduate,Self-Employed,,Retail,3.3,22445.0,27949.0,50394,803204.0,84,10.724069140834207,13636.56,0.271,1,Urban,1
LN101137,Male,Yes,2,Not Graduate,Salaried,Consulting,,2.1,30846.0,14716.0,45562,577265.0,84,9.848203559023702,9538.07,0.209,0,Urban,0
LN100787,Male,Yes,1,Graduate,Self-Employed,,Trading,8.9,75698.0,0.0,75698,428003.0,84,10.689212588453513,7258.7,0.096,0,Rural,0
LN100602,Male,No,0,Graduate,Salaried,Retail,,1.4,78353.0,24837.0,103190,329195.0,360,11.566579077814868,3276.72,0.032,1,Semiurban,1
LN100265,Male,Yes,1,Graduate,Salaried,Government,,11.4,21809.0,0.0,21809,844640.0,120,10.017477561527869,11170.16,0.512,0,Semiurban,1
LN100634,Male,Yes,0,Graduate,Self-Employed,,Agriculture,0.6,28876.0,0.0,28876,437193.0,180,12.782677859553019,5469.18,0.189,1,Semiurban,1
LN100700,Male,Yes,0,Graduate,Salaried,Manufacturing,,9.1,95907.0,19486.0,115393,730100.0,180,12.056648220867883,8789.05,0.076,1,Semiurban,1
LN100636,Male,Yes,0,Graduate,Self-Employed,,Trading,6.4,34030.0,0.0,34030,133610.0,84,10.719265844411956,2268.05,0.067,1,Semiurban,1
LN100493,Male,Yes,2,Graduate,Salaried,Healthcare,,3.5,28620.0,0.0,28620,417911.0,120,9.093229209160308,5315.03,0.186,1,Semiurban,1
LN100940,Male,No,0,Not Graduate,Salaried,Healthcare,,3.5,63310.0,0.0,63310,74588.0,240,7.171203073203686,585.97,0.009,0,Urban,0
LN100752,Male,Yes,3+,Graduate,Self-Employed,,Agriculture,1.0,74929.0,9815.0,84744,525370.0,180,9.962754528810029,5633.69,0.066,1,Rural,1
LN100435,Male,No,0,Graduate,Salaried,Education,,5.5,8880.0,8039.0,16919,734684.0,360,8.3722876852565,5582.72,0.33,1,Semiurban,1
LN100503,Female,Yes,0,Graduate,Salaried,Banking,,3.8,50125.0,0.0,50125,1089123.0,60,7.0,21565.94,0.43,1,Semiurban,1
LN100817,Male,Yes,1,Not Graduate,Salaried,IT,,3.0,62396.0,0.0,62396,446888.0,240,9.351398219083057,4122.31,0.066,0,Urban,0
LN101078,Male,Yes,2,Graduate,Self-Employed,,Retail,12.2,38641.0,0.0,38641,156156.0,180,8.971668142774742,1581.21,0.041,0,Rural,0
LN100231,Male,Yes,1,Graduate,Salaried,Retail,,5.9,37828.0,0.0,37828,221374.0,240,9.309150955360664,2035.99,0.054,1,Urban,1
LN100743,Male,Yes,0,Graduate,Self-Employed,,Services,0.3,71408.0,0.0,71408,302936.0,84,11.601201776606029,5283.26,0.074,1,Rural,1
LN100277,Male,Yes,0,Graduate,Salaried,Healthcare,,1.5,81311.0,0.0,81311,764833.0,84,11.178223884744364,13167.59,0.162,0,Urban,0
LN100058,Male,Yes,0,Graduate,Salaried,Retail,,14.7,77641.0,0.0,77641,877730.0,360,10.718021770976407,8172.35,0.105,1,Semiurban,1
LN100247,Female,Yes,0,Graduate,Salaried,Manufacturing,,1.0,91982.0,0.0,91982,50000.0,84,8.304219315950558,786.91,0.009,1,Urban,1
LN100622,Male,Yes,0,Not Graduate,Salaried,Education,,2.8,86862.0,30324.0,117186,190536.0,360,9.995627272877808,1671.47,0.014,0,Semiurban,1
LN100023,Male,Yes,3+,Graduate,Salaried,Healthcare,,1.0,22682.0,0.0,22682,1424169.0,360,12.418467291855322,15109.51,0.666,0,Rural,0
LN100107,Male,No,0,Graduate,Salaried,Manufacturing,,0.5,51515.0,34537.0,86052,,60,10.611818576346236,13053.16,0.152,1,Semiurban,0
LN100354,Male,Yes,3+,Graduate,Self-Employed,,IT Services,2.2,92616.0,0.0,92616,512235.0,60,11.179025936221313,11183.02,0.121,0,Semiurban,0
LN100680,Female,Yes,0,Not Graduate,Salaried,Government,,1.8,37772.0,0.0,37772,900993.0,60,9.184134919730113,18783.75,0.497,1,Urban,1
LN100613,Male,Yes,1,Graduate,Salaried,Education,,0.1,48078.0,23989.0,72067,321223.0,120,11.296877187627656,4479.0,0.062,1,Urban,1
LN100724,Male,Yes,2,Not Graduate,Salaried,Healthcare,,3.4,67469.0,14104.0,81573,821855.0,180,9.97761194133556,8820.44,0.108,1,Urban,1
LN101040,Male,No,0,Graduate,Self-Employed,,Trading,1.0,27689.0,14347.0,42036,691829.0,180,12.337942025605129,8454.12,0.201,1,Urban,1
LN100351,Female,Yes,1,Graduate,Salaried,Consulting,,3.5,66494.0,26997.0,93491,734064.0,180,10.347311603220708,8044.99,0.086,0,Urban,0
LN100945,Male,Yes,0,Graduate,Salaried,IT,,1.6,50088.0,39618.0,89706,1055143.0,60,8.709239010242035,21754.44,0.243,1,Semiurban,1
LN100594,Female,Yes,0,Graduate,Salaried,Consulting,,5.4,35973.0,0.0,35973,633145.0,360,10.66583925856433,5870.27,0.163,0,Urban,1
LN100693,Male,Yes,1,Graduate,Salaried,Manufacturing,,4.9,47288.0,21519.0,68807,921977.0,180,10.434676717987333,10154.22,0.148,0,Urban,0
LN100852,Male,No,1,Graduate,Salaried,IT,,8.1,120251.0,0.0,120251,89051.0,360,7.742081235757839,637.49,0.005,1,Rural,1
LN100322,Male,Yes,2,Not Graduate,Salaried,Healthcare,,2.1,8336.0,0.0,8336,1112553.0,120,8.221221506141696,13628.74,1.635,1,Urban,1
LN100433,Male,Yes,0,Graduate,Salaried,Retail,,11.7,59339.0,0.0,59339,156601.0,240,9.970478868507596,1508.17,0.025,0,Rural,1
LN100573,Male,No,0,Graduate,Salaried,Manufacturing,,1.8,60425.0,0.0,60425,838052.0,360,7.776285226954537,6019.14,0.1,1,Rural,1
LN100239,Male,Yes,0,Graduate,Self-Employed,,Retail,4.5,39255.0,2250.0,41505,114614.0,360,9.24496489292579,942.48,0.023,0,Urban,0
LN101282,Male,Yes,3+,Graduate,Salaried,Consulting,,5.9,93497.0,19648.0,113145,1086402.0,180,7.769065310188857,10237.91,0.09,1,Rural,1
LN100081,Male,Yes,2,Graduate,salaried,IT,,12.3,27828.0,0.0,27828,916598.0,120,8.846256522036773,11534.95,0.415,0,Semiurban,1
LN100591,Male,Yes,3+,Graduate,Salaried,IT,,0.5,105638.0,24971.0,130609,262118.0,60,7.7437772035780315,5282.72,0.04,0,Semiurban,0
LN100708,Male,Yes,0,Not Graduate,Salaried,Government,,5.2,42168.0,24509.0,66677,1033791.0,180,8.757395167377624,10336.73,0.155,1,Urban,1
LN100374,Male,No,0,Graduate,Salaried,Manufacturing,,0.9,8144.0,0.0,8144,911878.0,180,9.882836484830817,9733.83,1.195,0,Rural,0
LN100382,Male,Yes,2,Graduate,Self-Employed,,Trading,5.4,55804.0,13202.0,69006,388092.0,120,9.777732199752656,5081.02,0.074,1,Rural,1
LN100111,Male,Yes,1,Graduate,Salaried,IT,,0.3,75108.0,0.0,75108,299990.0,84,13.060519898359734,5467.28,0.073,1,Urban,1
LN101179,Male,No,3+,Graduate,Self-Employed,,IT Services,5.2,42107.0,0.0,42107,1169559.0,60,7.396399094578559,23378.03,0.555,1,Rural,1
LN100722,Male,No,2,Graduate,Salaried,Education,,8.1,47080.0,0.0,47080,67234.0,360,10.197625164620938,599.87,0.013,0,Semiurban,1
LN100963,Male,Yes,0,Graduate,Salaried,Healthcare,,2.3,67737.0,23110.0,90847,174696.0,60,10.781465310237657,3779.3,0.042,1,Semiurban,1
LN100413,Male,Yes,0,Not Graduate,Salaried,Banking,,0.6,113136.0,0.0,113136,378162.0,120,11.281553980524132,5269.63,0.047,0,Urban,0
